"9/27/2018","Expense","Боря","Transport","элпас, Сколково, из Сколково, автобус","60","RUB","60","RUB","None",""
"9/27/2018","Expense","Боря","Groceries","магнит, майонез","70","RUB","70","RUB","None",""
"9/27/2018","Expense","Боря","Groceries","Дикси, яйца","57","RUB","57","RUB","None",""
"9/27/2018","Expense","Боря","Groceries","Дикси, молоко","67","RUB","67","RUB","None",""
"9/27/2018","Expense","Боря","Groceries","овощи, Дикси, картофель","10","RUB","10","RUB","None","774 г"
"9/27/2018","Expense","Боря","Groceries","Дикси, крабовые палочки","134","RUB","134","RUB","None",""
"9/27/2018","Expense","Боря","Groceries","Дикси, кукуруза","50","RUB","50","RUB","None",""
"9/27/2018","Expense","Боря","Groceries","Дикси, колбаса","139","RUB","139","RUB","None",""
"9/27/2018","Expense","Боря","Groceries","хлеб, Дикси","45","RUB","45","RUB","None",""
"9/27/2018","Expense","Боря","Groceries","Дикси, сыр","91","RUB","91","RUB","None","210 г Костромской"
"9/27/2018","Expense","Боря","Groceries","Дикси, сыр","200","RUB","200","RUB","None","2 шт сливочный романов"
"9/27/2018","Expense","Боря","Groceries","Дикси, томаты","20","RUB","20","RUB","None","402 г"
"9/28/2018","Expense","Боря","Groceries","вода, бахетле","45","RUB","45","RUB","None",""
"9/28/2018","Expense","Боря","Transport","Сколково, в Сколково, автобус","33","RUB","33","RUB","None",""
"9/28/2018","Expense","Боря","Groceries","козинак, Сколково, магазин Сколково","58","RUB","58","RUB","None",""
"9/28/2018","Expense","Боря","Gifts","платок","2500","RUB","2500","RUB","None",""
"9/28/2018","Expense","Боря","Eating outside","столовая Сколково, Сколково, обед, бизнес-ланч","250","RUB","250","RUB","None",""
"9/28/2018","Expense","Боря","Transport","элпас, Сколково, из Сколково, автобус","60","RUB","60","RUB","None",""
"9/28/2018","Expense","Боря","Eating outside","ужин, шикари","4200","RUB","4200","RUB","None",""
"9/28/2018","Expense","Боря","Groceries","Дикси, яйца","60","RUB","60","RUB","None",""
"9/28/2018","Expense","Боря","Groceries","хлеб, Дикси","53","RUB","53","RUB","None",""
"9/28/2018","Expense","Боря","Groceries","Дикси, индейка","275","RUB","275","RUB","None",""
"9/28/2018","Expense","Боря","Groceries","Дикси, Геркулес","78","RUB","78","RUB","None",""
"9/29/2018","Expense","Боря","Transport","такси, ситимобил","95","RUB","95","RUB","None",""
"9/29/2018","Expense","Боря","Eating outside","кинто, обед","500","RUB","500","RUB","None",""
"9/29/2018","Expense","Боря","Transport","метро","1465","RUB","1465","RUB","None",""
"9/29/2018","Expense","Боря","Transport","такси, Яндекс","176","RUB","176","RUB","None",""
"9/30/2018","Expense","Боря","Groceries","Дикси, сливочное масло","80","RUB","80","RUB","None",""
"9/30/2018","Expense","Боря","Alcohol","Дикси, вино, алкоголь","469","RUB","469","RUB","None",""
"9/30/2018","Expense","Боря","Groceries","Дикси, чипсы, вкусвилл","135","RUB","135","RUB","None",""
"9/30/2018","Expense","Боря","Groceries","овощи, вкусвилл, базилик","15","RUB","15","RUB","None",""
"9/30/2018","Expense","Боря","Groceries","вкусвилл, арахис","110","RUB","110","RUB","None","2 уп"
"9/30/2018","Expense","Боря","Groceries","квас, вкусвилл","105","RUB","105","RUB","None",""
"9/30/2018","Expense","Боря","Groceries","тофу, вкусвилл","140","RUB","140","RUB","None",""
"9/30/2018","Expense","Боря","Groceries","вкусвилл, лук","20","RUB","20","RUB","None","836 г"
"10/1/2018","Expense","Боря","Transport","Сколково, в Сколково, автобус","33","RUB","33","RUB","None",""
"10/1/2018","Expense","Боря","Eating outside","столовая Сколково, Сколково, обед, бизнес-ланч","250","RUB","250","RUB","None",""
"10/1/2018","Expense","Боря","Groceries","батончик, вкусвилл","318","RUB","318","RUB","None","6 шт с маком"
"10/1/2018","Expense","Боря","Household","коты, корм, папа Карло","2475","RUB","2475","RUB","None",""
"10/2/2018","Expense","Боря","Transport","Сколково, в Сколково, автобус","33","RUB","33","RUB","None",""
"10/2/2018","Expense","Боря","Eating outside","столовая Сколково, Сколково, обед, бизнес-ланч","250","RUB","250","RUB","None",""
"10/2/2018","Expense","Боря","Transport","Сколково, из Сколково, автобус","33","RUB","33","RUB","None",""
"10/2/2018","Expense","Боря","Household","полотенце, пятёрочка","55","RUB","55","RUB","None","2 рулона"
"10/2/2018","Expense","Боря","Groceries","хлебцы, пятёрочка","80","RUB","80","RUB","None","2 уп"
"10/2/2018","Expense","Боря","Groceries","пятёрочка, фрукты, бананы","43","RUB","43","RUB","None","770 г"
"10/2/2018","Expense","Боря","Household","пятёрочка, пакет","20","RUB","20","RUB","None","для завтрака"
"10/3/2018","Expense","Боря","Communications","теле2, абонентская плата","400","RUB","400","RUB","None",""
"10/3/2018","Expense","Боря","Entertainment","концерт, Ленинград","4400","RUB","4400","RUB","None","2 билета"
"10/3/2018","Expense","Боря","Eating outside","столовая Сколково, Сколково, обед, бизнес-ланч","250","RUB","250","RUB","None",""
"10/3/2018","Expense","Боря","Medicine","аптека, салициловая кислота","14","RUB","14","RUB","None",""
"10/3/2018","Expense","Боря","Gifts","Цветы, венделла","4200","RUB","4200","RUB","None","годовщина Люся и Антон"
"10/3/2018","Expense","Боря","Medicine","Listerine, ополаскиватель для рта, аптека","158","RUB","158","RUB","None",""
"10/4/2018","Expense","Боря","Transport","элпас, Сколково, в Сколково, автобус","60","RUB","60","RUB","None",""
"10/4/2018","Expense","Боря","Groceries","вкусвилл, йогурт","46","RUB","46","RUB","None",""
"10/4/2018","Expense","Боря","Groceries","хлопья, вкусвилл","62","RUB","62","RUB","None",""
"10/4/2018","Expense","Боря","Groceries","шоколад, вкусвилл","468","RUB","468","RUB","None","50 г 3 шт ремесленный"
"10/4/2018","Expense","Боря","Eating outside","Сколково, обед, бизнес-ланч, axiom","250","RUB","250","RUB","None",""
"10/4/2018","Expense","Боря","Gifts","экскурсия, русский путешественник","1235","RUB","1235","RUB","None",""
"10/4/2018","Expense","Боря","Entertainment","книга, Тиньков","100","RUB","100","RUB","None",""
"10/4/2018","Expense","Боря","Electronics","xiaomi, телефон","19090","RUB","19090","RUB","None",""
"10/4/2018","Expense","Боря","Transport","Сколково, из Сколково, автобус","33","RUB","33","RUB","None",""
"10/4/2018","Expense","Боря","Eating outside","ужин, кинто","1085","RUB","1085","RUB","None",""
"10/5/2018","Expense","Боря","Transport","элпас, Сколково, в Сколково, автобус","60","RUB","60","RUB","None",""
"10/5/2018","Expense","Боря","Eating outside","osteria maria, Сколково, обед, бизнес-ланч","375","RUB","375","RUB","None",""
"10/5/2018","Expense","Боря","Gifts","Цветы, Натава","890","RUB","890","RUB","None","наде"
"10/5/2018","Expense","Боря","Eating outside","ужин, паста","5800","RUB","5800","RUB","None","с надей"
"10/6/2018","Expense","Боря","Alcohol","красное белое, виски","900","RUB","900","RUB","None",""
"10/7/2018","Expense","Wallet","Groceries","овощи, томаты, вкусвилл","82","RUB","82","RUB","None",""
"10/7/2018","Expense","Wallet","Household","вкусвилл, салфетки","60","RUB","60","RUB","None",""
"10/7/2018","Expense","Боря","Groceries","Дикси, бананы","54","RUB","54","RUB","None","996 г"
"10/7/2018","Expense","Боря","Household","Дикси, батарейки","200","RUB","200","RUB","None","4 шт пальчиковые"
"10/7/2018","Expense","Боря","Household","вкусвилл, пакет","10","RUB","10","RUB","None","2 шт"
"10/7/2018","Expense","Боря","Groceries","мысли, вкусвилл","170","RUB","170","RUB","None",""
"10/7/2018","Expense","Боря","Groceries","вкусвилл, хумус","135","RUB","135","RUB","None",""
"10/7/2018","Expense","Боря","Groceries","вкусвилл, молоко","92","RUB","92","RUB","None","соевое"
"10/7/2018","Expense","Боря","Groceries","квас, вкусвилл","105","RUB","105","RUB","None",""
"10/7/2018","Expense","Боря","Groceries","тунец, вкусвилл","120","RUB","120","RUB","None","185 г филе"
"10/7/2018","Expense","Боря","Groceries","овощи, вкусвилл, шпинат","90","RUB","90","RUB","None",""
"10/7/2018","Expense","Боря","Groceries","хлеб, вкусвилл","54","RUB","54","RUB","None",""
"10/7/2018","Expense","Боря","Groceries","говядина, вкусвилл, мясо","320","RUB","320","RUB","None","стейк сицилийский"
"10/7/2018","Expense","Боря","Groceries","вкусвилл, яйца","76","RUB","76","RUB","None",""
"10/7/2018","Expense","Боря","Groceries","вкусвилл, чай","85","RUB","85","RUB","None","зелёный"
"10/7/2018","Expense","Боря","Groceries","сыр, вкусвилл","169","RUB","169","RUB","None","256 г пошехонский"
"10/7/2018","Expense","Боря","Groceries","сок, вкусвилл","340","RUB","340","RUB","None","гранатовый"
"10/7/2018","Expense","Боря","Groceries","вода, вкусвилл","25","RUB","25","RUB","None",""
"10/7/2018","Expense","Боря","Groceries","вкусвилл, брокколи","125","RUB","125","RUB","None","400 г"
"10/7/2018","Expense","Боря","Groceries","вкусвилл, капуста","84","RUB","84","RUB","None","400 г цветная"
"10/7/2018","Expense","Боря","Groceries","имбирь, вкусвилл","185","RUB","185","RUB","None",""
"10/7/2018","Expense","Боря","Groceries","овощи, томаты, вкусвилл","104","RUB","104","RUB","None","716 г "
"10/7/2018","Expense","Боря","Groceries","лимон, вкусвилл","21","RUB","21","RUB","None","168 г"
"10/7/2018","Expense","Боря","Groceries","овощи, вкусвилл, зелень","38","RUB","38","RUB","None","100 г"
"10/7/2018","Expense","Боря","Transport","такси, ситимобил","273","RUB","273","RUB","None",""
"10/7/2018","Expense","Боря","Alcohol","сидр, лисица, алкоголь","300","RUB","300","RUB","None",""
"10/8/2018","Expense","Боря","Transport","Сколково, в Сколково, автобус","33","RUB","33","RUB","None",""
"10/8/2018","Expense","Боря","Eating outside","столовая Сколково, Сколково, чай","20","RUB","20","RUB","None",""
"10/8/2018","Expense","Боря","Eating outside","столовая Сколково, Сколково, обед, бизнес-ланч","250","RUB","250","RUB","None",""
"10/8/2018","Expense","Боря","Gifts","деньги","250","RUB","250","RUB","None",""
"10/8/2018","Expense","Боря","Groceries","вкусвилл, сметана","58","RUB","58","RUB","None",""
"10/8/2018","Expense","Боря","Groceries","вкусвилл, тесто","88","RUB","88","RUB","None",""
"10/8/2018","Expense","Боря","Groceries","шоколад, вкусвилл, сладкое","468","RUB","468","RUB","None",""
"10/9/2018","Expense","Боря","Transport","Сколково, в Сколково, автобус","33","RUB","33","RUB","None",""
"10/9/2018","Expense","Боря","Eating outside","Сколково, обед, бизнес-ланч, axiom","250","RUB","250","RUB","None",""
"10/9/2018","Expense","Боря","Transport","элпас, Сколково, из Сколково, автобус","60","RUB","60","RUB","None",""
"10/10/2018","Expense","Боря","Transport","Сколково, в Сколково, автобус","33","RUB","33","RUB","None",""
"10/10/2018","Expense","Боря","Eating outside","столовая Сколково, Сколково, обед","65","RUB","65","RUB","None",""
"10/11/2018","Expense","Лиза","Eating outside","завтрак, Шоколадница","465","RUB","465","RUB","None",""
"10/11/2018","Expense","Лиза","Eating outside","два кренделя, обед, бизнес-ланч","270","RUB","270","RUB","None",""
"10/11/2018","Expense","Боря","Transport","такси, Яндекс","182","RUB","182","RUB","None",""
"10/11/2018","Expense","Боря","Groceries","вкусвилл, йогурт","63","RUB","63","RUB","None",""
"10/11/2018","Expense","Боря","Transport","Сколково, в Сколково, автобус","33","RUB","33","RUB","None",""
"10/11/2018","Expense","Боря","Eating outside","столовая Сколково, Сколково, обед, бизнес-ланч","250","RUB","250","RUB","None",""
"10/12/2018","Expense","Лиза","Gifts","деньги","200","RUB","200","RUB","None",""
"10/12/2018","Expense","Лиза","Beauty","мами, брови","1500","RUB","1500","RUB","None",""
"10/12/2018","Expense","Лиза","Medicine","анализ","7068","RUB","7068","RUB","None",""
"10/12/2018","Expense","Боря","Alcohol","бахетле, вино, алкоголь","478","RUB","478","RUB","None",""
"10/12/2018","Expense","Боря","Transport","Сколково, в Сколково, автобус","33","RUB","33","RUB","None",""
"10/12/2018","Expense","Боря","Medicine","мазь, здоров.ру, аптека","71","RUB","71","RUB","None",""
"10/12/2018","Expense","Боря","Medicine","здоров.ру, аквамарис, аптека","271","RUB","271","RUB","None",""
"10/12/2018","Expense","Боря","Medicine","здоров.ру, Listerine, ополаскиватель для рта, аптека","131","RUB","131","RUB","None",""
"10/12/2018","Expense","Боря","Medicine","здоров.ру, Омез, аптека","156","RUB","156","RUB","None",""
"10/12/2018","Expense","Боря","Medicine","здоров.ру, аптека, метеоспазмил","405","RUB","405","RUB","None",""
"10/12/2018","Expense","Боря","Eating outside","столовая Сколково, Сколково, обед, бизнес-ланч","250","RUB","250","RUB","None",""
"10/12/2018","Expense","Боря","Transport","элпас, Сколково, из Сколково, автобус","180","RUB","180","RUB","None",""
"10/12/2018","Expense","Боря","Groceries","вкусвилл, морской коктейль","380","RUB","380","RUB","None",""
"10/12/2018","Expense","Боря","Transport","бензин, машина","1000","RUB","1000","RUB","None",""
"10/12/2018","Expense","Боря","Household","мироторг, пакет","5","RUB","5","RUB","None",""
"10/12/2018","Expense","Боря","Groceries","мироторг, овощи, томаты","94","RUB","94","RUB","None",""
"10/12/2018","Expense","Боря","Groceries","мироторг, овсянка","70","RUB","70","RUB","None",""
"10/12/2018","Expense","Боря","Groceries","мироторг, халва, сладкое","138","RUB","138","RUB","None",""
"10/12/2018","Expense","Боря","Groceries","мироторг, хлеб","33","RUB","33","RUB","None",""
"10/12/2018","Expense","Боря","Groceries","мироторг, фрукты, бананы","48","RUB","48","RUB","None",""
"10/12/2018","Expense","Боря","Groceries","мироторг, овощи, редис","46","RUB","46","RUB","None",""
"10/12/2018","Expense","Боря","Groceries","мироторг, свинина, мясо, шашлыки","660","RUB","660","RUB","None",""
"10/12/2018","Expense","Боря","Groceries","мироторг, баклажаны, овощи","36","RUB","36","RUB","None","584 г"
"10/12/2018","Expense","Боря","Groceries","мироторг, огурцы","130","RUB","130","RUB","None",""
"10/12/2018","Expense","Боря","Groceries","мироторг, сыр","285","RUB","285","RUB","None","125 г пармезан"
